Time_an(us)	Tip_Prescribed(nm)	F_Analytical(nN)	F_DMA_F_Ge(nN)	F_Transient(nN)
0.0088333333	4.2992096927	0.0000000000	0.0000000000	0.0000000000
0.0090000000	4.3048530122	0.0000000000	0.0000000000	0.0000000000
0.0091666667	4.3104962113	0.0000000000	0.0000000000	0.0000000000
0.0093333333	4.3161392878	0.0000000000	0.0000000000	0.0000000000
0.0095000000	4.3217822396	0.0000000000	0.0000000000	0.0000000000
0.0096666667	4.3274250643	0.0000000000	0.0000000000	0.0000000000
0.0098333333	4.3330677597	0.0000000000	0.0000000000	0.0000000000
0.0100000000	4.3387103236	0.0000000000	0.0000000000	0.0000000000
0.0101666667	4.3443527539	0.0000000000	0.0000000000	0.0000000000
0.0103333333	4.3499950481	0.0000000000	0.0000000000	0.0000000000
0.0105000000	4.3556372043	0.0000000000	0.0000000000	0.0000000000
0.0106666667	4.3612792200	0.0000000000	0.0000000000	0.0000000000
0.0108333333	4.3669210931	0.0000000000	0.0000000000	0.0000000000
0.0110000000	4.3725628213	0.0000000000	0.0000000000	0.0000000000
0.0111666667	4.3782044024	0.0000000000	0.0000000000	0.0000000000
0.0113333333	4.3838458343	0.0000000000	0.0000000000	0.0000000000
0.0115000000	4.3894871146	0.0000000000	0.0000000000	0.0000000000
0.0116666667	4.3951282411	0.0000000000	0.0000000000	0.0000000000
0.0118333333	4.4007692117	0.0000000000	0.0000000000	0.0000000000
0.0120000000	4.4064100240	0.0000000000	0.0000000000	0.0000000000
0.0121666667	4.4120506759	0.0000000000	0.0000000000	0.0000000000
0.0123333333	4.4176911651	0.0000000000	0.0000000000	0.0000000000
0.0125000000	4.4233314894	0.0000000000	0.0000000000	0.0000000000
0.0126666667	4.4289716466	0.0000000000	0.0000000000	0.0000000000
0.0128333333	4.4346116344	0.0000000000	0.0000000000	0.0000000000
0.0130000000	4.4402514507	0.0000000000	0.0000000000	0.0000000000
0.0131666667	4.4458910932	0.0000000000	0.0000000000	0.0000000000
0.0133333333	4.4515305596	0.0000000000	0.0000000000	0.0000000000
0.0135000000	4.4571698478	0.0000000000	0.0000000000	0.0000000000
0.0136666667	4.4628089554	0.0000000000	0.0000000000	0.0000000000
0.0138333333	4.4684478804	0.0000000000	0.0000000000	0.0000000000
0.0140000000	4.4740866205	0.0000000000	0.0000000000	0.0000000000
0.0141666667	4.4797251733	0.0000000000	0.0000000000	0.0000000000
0.0143333333	4.4853635368	0.0000000000	0.0000000000	0.0000000000
0.0145000000	4.4910017087	0.0000000000	0.0000000000	0.0000000000
0.0146666667	4.4966396868	0.0000000000	0.0000000000	0.0000000000
0.0148333333	4.5022774687	0.0000000000	0.0000000000	0.0000000000
0.0150000000	4.5079150524	0.0000000000	0.0000000000	0.0000000000
0.0151666667	4.5135524356	0.0000000000	0.0000000000	0.0000000000
0.0153333333	4.5191896160	0.0000000000	0.0000000000	0.0000000000
0.0155000000	4.5248265915	0.0000000000	0.0000000000	0.0000000000
0.0156666667	4.5304633597	0.0000000000	0.0000000000	0.0000000000
0.0158333333	4.5360999186	0.0000000000	0.0000000000	0.0000000000
0.0160000000	4.5417362658	0.0000000000	0.0000000000	0.0000000000
0.0161666667	4.5473723991	0.0000000000	0.0000000000	0.0000000000
0.0163333333	4.5530083163	0.0000000000	0.0000000000	0.0000000000
0.0165000000	4.5586440152	0.0000000000	0.0000000000	0.0000000000
0.0166666667	4.5642794936	0.0000000000	0.0000000000	0.0000000000
0.0168333333	4.5699147492	0.0000000000	0.0000000000	0.0000000000
0.0170000000	4.5755497798	0.0000000000	0.0000000000	0.0000000000
0.0171666667	4.5811845832	0.0000000000	0.0000000000	0.0000000000
0.0173333333	4.5868191572	0.0000000000	0.0000000000	0.0000000000
0.0175000000	4.5924534995	0.0000000000	0.0000000000	0.0000000000
0.0176666667	4.5980876079	0.0000000000	0.0000000000	0.0000000000
0.0178333333	4.6037214801	0.0000000000	0.0000000000	0.0000000000
0.0180000000	4.6093551141	0.0000000000	0.0000000000	0.0000000000
0.0181666667	4.6149885074	0.0000000000	0.0000000000	0.0000000000
0.0183333333	4.6206216580	0.0000000000	0.0000000000	0.0000000000
0.0185000000	4.6262545636	0.0000000000	0.0000000000	0.0000000000
0.0186666667	4.6318872220	0.0000000000	0.0000000000	0.0000000000
0.0188333333	4.6375196308	0.0000000000	0.0000000000	0.0000000000
0.0190000000	4.6431517880	0.0000000000	0.0000000000	0.0000000000
0.0191666667	4.6487836913	0.0000000000	0.0000000000	0.0000000000
0.0193333333	4.6544153385	0.0000000000	0.0000000000	0.0000000000
0.0195000000	4.6600467273	0.0000000000	0.0000000000	0.0000000000
0.0196666667	4.6656778555	0.0000000000	0.0000000000	0.0000000000
0.0198333333	4.6713087210	0.0000000000	0.0000000000	0.0000000000
0.0200000000	4.6769393214	0.0000000000	0.0000000000	0.0000000000
0.0201666667	4.6825696545	0.0000000000	0.0000000000	0.0000000000
0.0203333333	4.6881997182	0.0000000000	0.0000000000	0.0000000000
0.0205000000	4.6938295103	0.0000000000	0.0000000000	0.0000000000
0.0206666667	4.6994590283	0.0000000000	0.0000000000	0.0000000000
0.0208333333	4.7050882703	0.0000000000	0.0000000000	0.0000000000
0.0210000000	4.7107172339	0.0000000000	0.0000000000	0.0000000000
0.0211666667	4.7163459169	0.0000000000	0.0000000000	0.0000000000
0.0213333333	4.7219743172	0.0000000000	0.0000000000	0.0000000000
0.0215000000	4.7276024324	0.0000000000	0.0000000000	0.0000000000
0.0216666667	4.7332302603	0.0000000000	0.0000000000	0.0000000000
0.0218333333	4.7388577988	0.0000000000	0.0000000000	0.0000000000
0.0220000000	4.7444850456	0.0000000000	0.0000000000	0.0000000000
0.0221666667	4.7501119985	0.0000000000	0.0000000000	0.0000000000
0.0223333333	4.7557386552	0.0000000000	0.0000000000	0.0000000000
0.0225000000	4.7613650136	0.0000000000	0.0000000000	0.0000000000
0.0226666667	4.7669910714	0.0000000000	0.0000000000	0.0000000000
0.0228333333	4.7726168265	0.0000000000	0.0000000000	0.0000000000
0.0230000000	4.7782422765	0.0000000000	0.0000000000	0.0000000000
0.0231666667	4.7838674193	0.0000000000	0.0000000000	0.0000000000
0.0233333333	4.7894922526	0.0000000000	0.0000000000	0.0000000000
0.0235000000	4.7951167742	0.0000000000	0.0000000000	0.0000000000
0.0236666667	4.8007409819	0.0000000000	0.0000000000	0.0000000000
0.0238333333	4.8063648736	0.0000000000	0.0000000000	0.0000000000
0.0240000000	4.8119884468	0.0000000000	0.0000000000	0.0000000000
0.0241666667	4.8176116995	0.0000000000	0.0000000000	0.0000000000
0.0243333333	4.8232346295	0.0000000000	0.0000000000	0.0000000000
0.0245000000	4.8288572344	0.0000000000	0.0000000000	0.0000000000
0.0246666667	4.8344795121	0.0000000000	0.0000000000	0.0000000000
0.0248333333	4.8401014604	0.0000000000	0.0000000000	0.0000000000
0.0250000000	4.8457230770	0.0000000000	0.0000000000	0.0000000000
0.0251666667	4.8513443598	0.0000000000	0.0000000000	0.0000000000
0.0253333333	4.8569653064	0.0000000000	0.0000000000	0.0000000000
0.0255000000	4.8625859147	0.0000000000	0.0000000000	0.0000000000
0.0256666667	4.8682061825	0.0000000000	0.0000000000	0.0000000000
0.0258333333	4.8738261076	0.0000000000	0.0000000000	0.0000000000
0.0260000000	4.8794456876	0.0000000000	0.0000000000	0.0000000000
0.0261666667	4.8850649205	0.0000000000	0.0000000000	0.0000000000
0.0263333333	4.8906838040	0.0000000000	0.0000000000	0.0000000000
0.0265000000	4.8963023358	0.0000000000	0.0000000000	0.0000000000
0.0266666667	4.9019205138	0.0000000000	0.0000000000	0.0000000000
0.0268333333	4.9075383357	0.0000000000	0.0000000000	0.0000000000
0.0270000000	4.9131557994	0.0000000000	0.0000000000	0.0000000000
0.0271666667	4.9187729025	0.0000000000	0.0000000000	0.0000000000
0.0273333333	4.9243896429	0.0000000000	0.0000000000	0.0000000000
0.0275000000	4.9300060184	0.0000000000	0.0000000000	0.0000000000
0.0276666667	4.9356220268	0.0000000000	0.0000000000	0.0000000000
0.0278333333	4.9412376657	0.0000000000	0.0000000000	0.0000000000
0.0280000000	4.9468529331	0.0000000000	0.0000000000	0.0000000000
0.0281666667	4.9524678267	0.0000000000	0.0000000000	0.0000000000
0.0283333333	4.9580823443	0.0000000000	0.0000000000	0.0000000000
0.0285000000	4.9636964836	0.0000000000	0.0000000000	0.0000000000
0.0286666667	4.9693102425	0.0000000000	0.0000000000	0.0000000000
0.0288333333	4.9749236187	0.0000000000	0.0000000000	0.0000000000
0.0290000000	4.9805366100	0.0000000000	0.0000000000	0.0000000000
0.0291666667	4.9861492142	0.0000000000	0.0000000000	0.0000000000
0.0293333333	4.9917614291	0.0000000000	0.0000000000	0.0000000000
0.0295000000	4.9973732525	0.0000000000	0.0000000000	0.0000000000
0.0296666667	5.0029846821	0.0000000000	0.0000000000	0.0000000000
0.0298333333	5.0085957158	0.0000000000	0.0000000000	0.0000000000
0.0300000000	5.0142063513	0.0000000000	0.0000000000	0.0000000000
0.0301666667	5.0198165864	0.0000000000	0.0000000000	0.0000000000
0.0303333333	5.0254264189	0.0000000000	0.0000000000	0.0000000000
0.0305000000	5.0310358465	0.0000000000	0.0000000000	0.0000000000
0.0306666667	5.0366448672	0.0000000000	0.0000000000	0.0000000000
0.0308333333	5.0422534786	0.0000000000	0.0000000000	0.0000000000
0.0310000000	5.0478616785	0.0000000000	0.0000000000	0.0000000000
0.0311666667	5.0534694647	0.0000000000	0.0000000000	0.0000000000
0.0313333333	5.0590768350	0.0000000000	0.0000000000	0.0000000000
0.0315000000	5.0646837873	0.0000000000	0.0000000000	0.0000000000
0.0316666667	5.0702903192	0.0000000000	0.0000000000	0.0000000000
0.0318333333	5.0758964286	0.0000000000	0.0000000000	0.0000000000
0.0320000000	5.0815021132	0.0000000000	0.0000000000	0.0000000000
0.0321666667	5.0871073709	0.0000000000	0.0000000000	0.0000000000
0.0323333333	5.0927121994	0.0000000000	0.0000000000	0.0000000000
0.0325000000	5.0983165965	0.0000000000	0.0000000000	0.0000000000
0.0326666667	5.1039205600	0.0000000000	0.0000000000	0.0000000000
0.0328333333	5.1095240877	0.0000000000	0.0000000000	0.0000000000
0.0330000000	5.1151271774	0.0000000000	0.0000000000	0.0000000000
0.0331666667	5.1207298269	0.0000000000	0.0000000000	0.0000000000
0.0333333333	5.1263320339	0.0000000000	0.0000000000	0.0000000000
0.0335000000	5.1319337962	0.0000000000	0.0000000000	0.0000000000
0.0336666667	5.1375351117	0.0000000000	0.0000000000	0.0000000000
0.0338333333	5.1431359781	0.0000000000	0.0000000000	0.0000000000
0.0340000000	5.1487363932	0.0000000000	0.0000000000	0.0000000000
0.0341666667	5.1543363548	0.0000000000	0.0000000000	0.0000000000
0.0343333333	5.1599358607	0.0000000000	0.0000000000	0.0000000000
0.0345000000	5.1655349086	0.0000000000	0.0000000000	0.0000000000
0.0346666667	5.1711334965	0.0000000000	0.0000000000	0.0000000000
0.0348333333	5.1767316219	0.0000000000	0.0000000000	0.0000000000
0.0350000000	5.1823292829	0.0000000000	0.0000000000	0.0000000000
0.0351666667	5.1879264770	0.0000000000	0.0000000000	0.0000000000
0.0353333333	5.1935232022	0.0000000000	0.0000000000	0.0000000000
0.0355000000	5.1991194562	0.0000000000	0.0000000000	0.0000000000
0.0356666667	5.2047152368	0.0000000000	0.0000000000	0.0000000000
0.0358333333	5.2103105418	0.0000000000	0.0000000000	0.0000000000
0.0360000000	5.2159053690	0.0000000000	0.0000000000	0.0000000000
0.0361666667	5.2214997162	0.0000000000	0.0000000000	0.0000000000
0.0363333333	5.2270935812	0.0000000000	0.0000000000	0.0000000000
0.0365000000	5.2326869617	0.0000000000	0.0000000000	0.0000000000
0.0366666667	5.2382798555	0.0000000000	0.0000000000	0.0000000000
0.0368333333	5.2438722606	0.0000000000	0.0000000000	0.0000000000
0.0370000000	5.2494641745	0.0000000000	0.0000000000	0.0000000000
0.0371666667	5.2550555952	0.0000000000	0.0000000000	0.0000000000
0.0373333333	5.2606465204	0.0000000000	0.0000000000	0.0000000000
0.0375000000	5.2662369479	0.0000000000	0.0000000000	0.0000000000
0.0376666667	5.2718268756	0.0000000000	0.0000000000	0.0000000000
0.0378333333	5.2774163011	0.0000000000	0.0000000000	0.0000000000
0.0380000000	5.2830052223	0.0000000000	0.0000000000	0.0000000000
0.0381666667	5.2885936370	0.0000000000	0.0000000000	0.0000000000
0.0383333333	5.2941815431	0.0000000000	0.0000000000	0.0000000000
0.0385000000	5.2997689381	0.0000000000	0.0000000000	0.0000000000
0.0386666667	5.3053558201	0.0000000000	0.0000000000	0.0000000000
0.0388333333	5.3109421867	0.0000000000	0.0000000000	0.0000000000
0.0390000000	5.3165280358	0.0000000000	0.0000000000	0.0000000000
0.0391666667	5.3221133651	0.0000000000	0.0000000000	0.0000000000
0.0393333333	5.3276981725	0.0000000000	0.0000000000	0.0000000000
0.0395000000	5.3332824558	0.0000000000	0.0000000000	0.0000000000
0.0396666667	5.3388662126	0.0000000000	0.0000000000	0.0000000000
0.0398333333	5.3444494409	0.0000000000	0.0000000000	0.0000000000
0.0400000000	5.3500321385	0.0000000000	0.0000000000	0.0000000000
0.0401666667	5.3556143031	0.0000000000	0.0000000000	0.0000000000
0.0403333333	5.3611959325	0.0000000000	0.0000000000	0.0000000000
0.0405000000	5.3667770245	0.0000000000	0.0000000000	0.0000000000
0.0406666667	5.3723575769	0.0000000000	0.0000000000	0.0000000000
0.0408333333	5.3779375876	0.0000000000	0.0000000000	0.0000000000
0.0410000000	5.3835170542	0.0000000000	0.0000000000	0.0000000000
0.0411666667	5.3890959747	0.0000000000	0.0000000000	0.0000000000
0.0413333333	5.3946743468	0.0000000000	0.0000000000	0.0000000000
0.0415000000	5.4002521683	0.0000000000	0.0000000000	0.0000000000
0.0416666667	5.4058294370	0.0000000000	0.0000000000	0.0000000000
0.0418333333	5.4114061507	0.0000000000	0.0000000000	0.0000000000
0.0420000000	5.4169823071	0.0000000000	0.0000000000	0.0000000000
0.0421666667	5.4225579042	0.0000000000	0.0000000000	0.0000000000
0.0423333333	5.4281329397	0.0000000000	0.0000000000	0.0000000000
0.0425000000	5.4337074114	0.0000000000	0.0000000000	0.0000000000
0.0426666667	5.4392813171	0.0000000000	0.0000000000	0.0000000000
0.0428333333	5.4448546545	0.0000000000	0.0000000000	0.0000000000
0.0430000000	5.4504274216	0.0000000000	0.0000000000	0.0000000000
0.0431666667	5.4559996161	0.0000000000	0.0000000000	0.0000000000
0.0433333333	5.4615712357	0.0000000000	0.0000000000	0.0000000000
0.0435000000	5.4671422784	0.0000000000	0.0000000000	0.0000000000
0.0436666667	5.4727127418	0.0000000000	0.0000000000	0.0000000000
0.0438333333	5.4782826238	0.0000000000	0.0000000000	0.0000000000
0.0440000000	5.4838519223	0.0000000000	0.0000000000	0.0000000000
0.0441666667	5.4894206349	0.0000000000	0.0000000000	0.0000000000
0.0443333333	5.4949887595	0.0000000000	0.0000000000	0.0000000000
0.0445000000	5.5005562940	0.0000000000	0.0000000000	0.0000000000
0.0446666667	5.5061232360	0.0000000000	0.0000000000	0.0000000000
0.0448333333	5.5116895835	0.0000000000	0.0000000000	0.0000000000
0.0450000000	5.5172553341	0.0000000000	0.0000000000	0.0000000000
0.0451666667	5.5228204858	0.0000000000	0.0000000000	0.0000000000
0.0453333333	5.5283850363	0.0000000000	0.0000000000	0.0000000000
0.0455000000	5.5339489834	0.0000000000	0.0000000000	0.0000000000
0.0456666667	5.5395123249	0.0000000000	0.0000000000	0.0000000000
0.0458333333	5.5450750586	0.0000000000	0.0000000000	0.0000000000
0.0460000000	5.5506371824	0.0000000000	0.0000000000	0.0000000000
0.0461666667	5.5561986940	0.0000000000	0.0000000000	0.0000000000
0.0463333333	5.5617595913	0.0000000000	0.0000000000	0.0000000000
0.0465000000	5.5673198719	0.0000000000	0.0000000000	0.0000000000
0.0466666667	5.5728795339	0.0000000000	0.0000000000	0.0000000000
0.0468333333	5.5784385749	0.0000000000	0.0000000000	0.0000000000
0.0470000000	5.5839969927	0.0000000000	0.0000000000	0.0000000000
0.0471666667	5.5895547852	0.0000000000	0.0000000000	0.0000000000
0.0473333333	5.5951119502	0.0000000000	0.0000000000	0.0000000000
0.0475000000	5.6006684854	0.0000000000	0.0000000000	0.0000000000
0.0476666667	5.6062243888	0.0000000000	0.0000000000	0.0000000000
0.0478333333	5.6117796580	0.0000000000	0.0000000000	0.0000000000
0.0480000000	5.6173342909	0.0000000000	0.0000000000	0.0000000000
0.0481666667	5.6228882853	0.0000000000	0.0000000000	0.0000000000
0.0483333333	5.6284416391	0.0000000000	0.0000000000	0.0000000000
0.0485000000	5.6339943499	0.0000000000	0.0000000000	0.0000000000
0.0486666667	5.6395464157	0.0000000000	0.0000000000	0.0000000000
0.0488333333	5.6450978342	0.0000000000	0.0000000000	0.0000000000
0.0490000000	5.6506486032	0.0000000000	0.0000000000	0.0000000000
0.0491666667	5.6561987206	0.0000000000	0.0000000000	0.0000000000
0.0493333333	5.6617481842	0.0000000000	0.0000000000	0.0000000000
0.0495000000	5.6672969917	0.0000000000	0.0000000000	0.0000000000
0.0496666667	5.6728451410	0.0000000000	0.0000000000	0.0000000000
0.0498333333	5.6783926299	0.0000000000	0.0000000000	0.0000000000
0.0500000000	5.6839394561	0.0000000000	0.0000000000	0.0000000000
0.0501666667	5.6894856176	0.0000000000	0.0000000000	0.0000000000
0.0503333333	5.6950311121	0.0000000000	0.0000000000	0.0000000000
0.0505000000	5.7005759375	0.0000000000	0.0000000000	0.0000000000
0.0506666667	5.7061200915	0.0000000000	0.0000000000	0.0000000000
0.0508333333	5.7116635719	0.0000000000	0.0000000000	0.0000000000
0.0510000000	5.7172063766	0.0000000000	0.0000000000	0.0000000000
0.0511666667	5.7227485033	0.0000000000	0.0000000000	0.0000000000
0.0513333333	5.7282899500	0.0000000000	0.0000000000	0.0000000000
0.0515000000	5.7338307143	0.0000000000	0.0000000000	0.0000000000
0.0516666667	5.7393707942	0.0000000000	0.0000000000	0.0000000000
0.0518333333	5.7449101874	0.0000000000	0.0000000000	0.0000000000
0.0520000000	5.7504488917	0.0000000000	0.0000000000	0.0000000000
0.0521666667	5.7559869050	0.0000000000	0.0000000000	0.0000000000
0.0523333333	5.7615242250	0.0000000000	0.0000000000	0.0000000000
0.0525000000	5.7670608496	0.0000000000	0.0000000000	0.0000000000
0.0526666667	5.7725967766	0.0000000000	0.0000000000	0.0000000000
0.0528333333	5.7781320038	0.0000000000	0.0000000000	0.0000000000
0.0530000000	5.7836665291	0.0000000000	0.0000000000	0.0000000000
0.0531666667	5.7892003501	0.0000000000	0.0000000000	0.0000000000
0.0533333333	5.7947334648	0.0000000000	0.0000000000	0.0000000000
0.0535000000	5.8002658710	0.0000000000	0.0000000000	0.0000000000
0.0536666667	5.8057975665	0.0000000000	0.0000000000	0.0000000000
0.0538333333	5.8113285491	0.0000000000	0.0000000000	0.0000000000
0.0540000000	5.8168588166	0.0000000000	0.0000000000	0.0000000000
0.0541666667	5.8223883668	0.0000000000	0.0000000000	0.0000000000
0.0543333333	5.8279171976	0.0000000000	0.0000000000	0.0000000000
0.0545000000	5.8334453067	0.0000000000	0.0000000000	0.0000000000
0.0546666667	5.8389726920	0.0000000000	0.0000000000	0.0000000000
0.0548333333	5.8444993514	0.0000000000	0.0000000000	0.0000000000
0.0550000000	5.8500252825	0.0000000000	0.0000000000	0.0000000000
0.0551666667	5.8555504833	0.0000000000	0.0000000000	0.0000000000
0.0553333333	5.8610749515	0.0000000000	0.0000000000	0.0000000000
0.0555000000	5.8665986851	0.0000000000	0.0000000000	0.0000000000
0.0556666667	5.8721216817	0.0000000000	0.0000000000	0.0000000000
0.0558333333	5.8776439392	0.0000000000	0.0000000000	0.0000000000
0.0560000000	5.8831654555	0.0000000000	0.0000000000	0.0000000000
0.0561666667	5.8886862283	0.0000000000	0.0000000000	0.0000000000
0.0563333333	5.8942062555	0.0000000000	0.0000000000	0.0000000000
0.0565000000	5.8997255349	0.0000000000	0.0000000000	0.0000000000
0.0566666667	5.9052440643	0.0000000000	0.0000000000	0.0000000000
0.0568333333	5.9107618416	0.0000000000	0.0000000000	0.0000000000
0.0570000000	5.9162788645	0.0000000000	0.0000000000	0.0000000000
0.0571666667	5.9217951309	0.0000000000	0.0000000000	0.0000000000
0.0573333333	5.9273106386	0.0000000000	0.0000000000	0.0000000000
0.0575000000	5.9328253855	0.0000000000	0.0000000000	0.0000000000
0.0576666667	5.9383393693	0.0000000000	0.0000000000	0.0000000000
0.0578333333	5.9438525878	0.0000000000	0.0000000000	0.0000000000
0.0580000000	5.9493650390	0.0000000000	0.0000000000	0.0000000000
0.0581666667	5.9548767206	0.0000000000	0.0000000000	0.0000000000
0.0583333333	5.9603876304	0.0000000000	0.0000000000	0.0000000000
0.0585000000	5.9658977663	0.0000000000	0.0000000000	0.0000000000
0.0586666667	5.9714071261	0.0000000000	0.0000000000	0.0000000000
0.0588333333	5.9769157076	0.0000000000	0.0000000000	0.0000000000
0.0590000000	5.9824235086	0.0000000000	0.0000000000	0.0000000000
0.0591666667	5.9879305271	0.0000000000	0.0000000000	0.0000000000
0.0593333333	5.9934367607	0.0000000000	0.0000000000	0.0000000000
0.0595000000	5.9989422073	0.0000000000	0.0000000000	0.0000000000
0.0596666667	6.0044468648	0.0000000000	0.0000000000	0.0000000000
0.0598333333	6.0099507310	0.0000000000	0.0000000000	0.0000000000
0.0600000000	6.0154538037	0.0000000000	0.0000000000	0.0000000000
0.0601666667	6.0209560807	0.0000000000	0.0000000000	0.0000000000
0.0603333333	6.0264575599	0.0000000000	0.0000000000	0.0000000000
0.0605000000	6.0319582390	0.0000000000	0.0000000000	0.0000000000
0.0606666667	6.0374581160	0.0000000000	0.0000000000	0.0000000000
0.0608333333	6.0429571886	0.0000000000	0.0000000000	0.0000000000
0.0610000000	6.0484554547	0.0000000000	0.0000000000	0.0000000000
0.0611666667	6.0539529121	0.0000000000	0.0000000000	0.0000000000
0.0613333333	6.0594495586	0.0000000000	0.0000000000	0.0000000000
0.0615000000	6.0649453921	0.0000000000	0.0000000000	0.0000000000
0.0616666667	6.0704404103	0.0000000000	0.0000000000	0.0000000000
0.0618333333	6.0759346112	0.0000000000	0.0000000000	0.0000000000
0.0620000000	6.0814279926	0.0000000000	0.0000000000	0.0000000000
0.0621666667	6.0869205522	0.0000000000	0.0000000000	0.0000000000
0.0623333333	6.0924122880	0.0000000000	0.0000000000	0.0000000000
0.0625000000	6.0979031977	0.0000000000	0.0000000000	0.0000000000
0.0626666667	6.1033932791	0.0000000000	0.0000000000	0.0000000000
0.0628333333	6.1088825302	0.0000000000	0.0000000000	0.0000000000
0.0630000000	6.1143709488	0.0000000000	0.0000000000	0.0000000000
0.0631666667	6.1198585326	0.0000000000	0.0000000000	0.0000000000
0.0633333333	6.1253452795	0.0000000000	0.0000000000	0.0000000000
0.0635000000	6.1308311874	0.0000000000	0.0000000000	0.0000000000
0.0636666667	6.1363162541	0.0000000000	0.0000000000	0.0000000000
0.0638333333	6.1418004774	0.0000000000	0.0000000000	0.0000000000
0.0640000000	6.1472838551	0.0000000000	0.0000000000	0.0000000000
0.0641666667	6.1527663851	0.0000000000	0.0000000000	0.0000000000
0.0643333333	6.1582480652	0.0000000000	0.0000000000	0.0000000000
0.0645000000	6.1637288933	0.0000000000	0.0000000000	0.0000000000
0.0646666667	6.1692088672	0.0000000000	0.0000000000	0.0000000000
0.0648333333	6.1746879848	0.0000000000	0.0000000000	0.0000000000
0.0650000000	6.1801662437	0.0000000000	0.0000000000	0.0000000000
0.0651666667	6.1856436420	0.0000000000	0.0000000000	0.0000000000
0.0653333333	6.1911201775	0.0000000000	0.0000000000	0.0000000000
0.0655000000	6.1965958479	0.0000000000	0.0000000000	0.0000000000
0.0656666667	6.2020706511	0.0000000000	0.0000000000	0.0000000000
0.0658333333	6.2075445850	0.0000000000	0.0000000000	0.0000000000
0.0660000000	6.2130176474	0.0000000000	0.0000000000	0.0000000000
